id,date,name,docs-1,docs-delta-percent-1,docs-percent-1,docs-2,docs-delta-percent-2,docs-percent-2,docs-3,docs-delta-percent-3,docs-percent-3,docs-4,docs-delta-percent-4,docs-percent-4,docs-5,docs-delta-percent-5,docs-percent-5,docs-6,docs-delta-percent-6,docs-percent-6,docs-7,docs-delta-percent-7,docs-percent-7,docs-8,docs-delta-percent-8,docs-percent-8,docs-9,docs-delta-percent-9,docs-percent-9,docs-10,docs-delta-percent-10,docs-percent-10,docs-11,docs-delta-percent-11,docs-percent-11,docs-12,docs-delta-percent-12,docs-percent-12,docs-13,docs-delta-percent-13,docs-percent-13
ARG,2020-04-13,Argentina,54,58.8,2.5,123,95.2,5.6,212,20.5,9.7,318,58.2,14.5,873,44.8,39.8,209,80.2,9.5,72,84.6,3.3,28,133.3,1.3,66,3.1,3.0,25,-24.2,1.1,19,171.4,0.9,182,46.8,8.3,10,-28.6,0.5
ARG,2020-04-14,Argentina,47,-13.0,3.0,68,-44.7,4.3,162,-23.6,10.2,259,-18.6,16.3,571,-34.6,35.9,152,-27.3,9.6,83,15.3,5.2,16,-42.9,1.0,75,13.6,4.7,15,-40.0,0.9,10,-47.4,0.6,121,-33.5,7.6,12,20.0,0.8
ARG,2020-04-15,Argentina,25,-46.8,3.1,24,-64.7,3.0,95,-41.4,11.9,130,-49.8,16.2,317,-44.5,39.6,61,-59.9,7.6,20,-75.9,2.5,6,-62.5,0.7,32,-57.3,4.0,13,-13.3,1.6,8,-20.0,1.0,59,-51.2,7.4,11,-8.3,1.4
ARG,2020-04-16,Argentina,74,196.0,2.3,132,450.0,4.1,276,190.5,8.5,404,210.8,12.4,1524,380.8,46.8,273,347.5,8.4,134,570.0,4.1,51,750.0,1.6,81,153.1,2.5,27,107.7,0.8,24,200.0,0.7,239,305.1,7.3,18,63.6,0.6
ARG,2020-04-17,Argentina,51,-31.1,2.9,78,-40.9,4.4,139,-49.6,7.9,226,-44.1,12.8,760,-50.1,43.1,179,-34.4,10.1,60,-55.2,3.4,27,-47.1,1.5,55,-32.1,3.1,39,44.4,2.2,7,-70.8,0.4,135,-43.5,7.6,9,-50.0,0.5
ARG,2020-04-18,Argentina,76,49.0,2.6,133,70.5,4.6,235,69.1,8.2,343,51.8,11.9,1235,62.5,42.9,247,38.0,8.6,115,91.7,4.0,36,33.3,1.2,89,61.8,3.1,73,87.2,2.5,15,114.3,0.5,275,103.7,9.5,8,-11.1,0.3
ARG,2020-04-19,Argentina,55,-27.6,2.8,80,-39.8,4.1,155,-34.0,7.9,218,-36.4,11.2,856,-30.7,43.8,201,-18.6,10.3,49,-57.4,2.5,22,-38.9,1.1,60,-32.6,3.1,46,-37.0,2.4,25,66.7,1.3,173,-37.1,8.8,15,87.5,0.8
ARG,2020-04-20,Argentina,72,30.9,2.8,103,28.7,4.0,271,74.8,10.6,324,48.6,12.7,1089,27.2,42.7,264,31.3,10.4,69,40.8,2.7,28,27.3,1.1,63,5.0,2.5,38,-17.4,1.5,15,-40.0,0.6,202,16.8,7.9,10,-33.3,0.4
ARG,2020-04-21,Argentina,56,-22.2,3.3,76,-26.2,4.5,153,-43.5,9.0,224,-30.9,13.2,681,-37.5,40.1,144,-45.5,8.5,60,-13.0,3.5,23,-17.9,1.4,74,17.5,4.4,48,26.3,2.8,12,-20.0,0.7,141,-30.2,8.3,8,-20.0,0.5
ARG,2020-04-22,Argentina,108,92.9,2.8,152,100.0,4.0,385,151.6,10.1,489,118.3,12.9,1594,134.1,41.9,293,103.5,7.7,105,75.0,2.8,71,208.7,1.9,112,51.4,2.9,117,143.8,3.1,49,308.3,1.3,311,120.6,8.2,16,100.0,0.4
ARG,2020-04-23,Argentina,81,-25.0,3.4,100,-34.2,4.2,260,-32.5,11.0,344,-29.7,14.6,874,-45.2,37.1,204,-30.4,8.7,83,-21.0,3.5,53,-25.4,2.3,66,-41.1,2.8,42,-64.1,1.8,19,-61.2,0.8,208,-33.1,8.8,20,25.0,0.8
ARG,2020-04-24,Argentina,41,-49.4,2.5,79,-21.0,4.9,162,-37.7,10.0,222,-35.5,13.7,576,-34.1,35.6,146,-28.4,9.0,62,-25.3,3.8,26,-50.9,1.6,79,19.7,4.9,88,109.5,5.4,15,-21.1,0.9,114,-45.2,7.0,9,-55.0,0.6
ARG,2020-04-25,Argentina,39,-4.9,2.8,65,-17.7,4.7,139,-14.2,10.1,244,9.9,17.7,457,-20.7,33.2,113,-22.6,8.2,53,-14.5,3.9,23,-11.5,1.7,50,-36.7,3.6,72,-18.2,5.2,17,13.3,1.2,92,-19.3,6.7,12,33.3,0.9
ARG,2020-04-26,Argentina,44,12.8,2.6,70,7.7,4.1,169,21.6,9.9,345,41.4,20.2,529,15.8,31.0,211,86.7,12.4,43,-18.9,2.5,33,43.5,1.9,59,18.0,3.5,51,-29.2,3.0,8,-52.9,0.5,131,42.4,7.7,11,-8.3,0.6
ARG,2020-04-27,Argentina,77,75.0,3.7,91,30.0,4.4,253,49.7,12.3,294,-14.8,14.3,702,32.7,34.1,190,-10.0,9.2,70,62.8,3.4,37,12.1,1.8,81,37.3,3.9,89,74.5,4.3,20,150.0,1.0,137,4.6,6.7,15,36.4,0.7
ARG,2020-04-28,Argentina,51,-33.8,2.3,113,24.2,5.1,250,-1.2,11.3,302,2.7,13.6,762,8.5,34.4,170,-10.5,7.7,72,2.9,3.3,54,45.9,2.4,66,-18.5,3.0,208,133.7,9.4,15,-25.0,0.7,143,4.4,6.5,9,-40.0,0.4
ARG,2020-04-29,Argentina,50,-2.0,2.6,52,-54.0,2.8,179,-28.4,9.5,211,-30.1,11.2,596,-21.8,31.6,149,-12.4,7.9,49,-31.9,2.6,25,-53.7,1.3,103,56.1,5.5,306,47.1,16.2,9,-40.0,0.5,145,1.4,7.7,15,66.7,0.8
BHS,2020-03-15,Bahamas,4,0,1.9,2,0,0.9,7,0,3.3,9,0,4.2,88,0,41.3,49,0,23.0,4,0,1.9,10,0,4.7,13,0,6.1,8,0,3.8,3,0,1.4,8,0,3.8,8,0,3.8
BHS,2020-03-16,Bahamas,3,-25.0,1.3,9,350.0,3.9,5,-28.6,2.2,19,111.1,8.3,98,11.4,42.6,44,-10.2,19.1,4,0.0,1.7,12,20.0,5.2,16,23.1,7.0,2,-75.0,0.9,2,-33.3,0.9,8,0.0,3.5,8,0.0,3.5
BHS,2020-03-17,Bahamas,5,66.7,2.4,2,-77.8,1.0,7,40.0,3.4,16,-15.8,7.8,89,-9.2,43.2,36,-18.2,17.5,6,50.0,2.9,6,-50.0,2.9,12,-25.0,5.8,5,150.0,2.4,9,350.0,4.4,7,-12.5,3.4,6,-25.0,2.9
BHS,2020-03-18,Bahamas,18,260.0,6.7,9,350.0,3.3,4,-42.9,1.5,24,50.0,8.9,112,25.8,41.6,39,8.3,14.5,3,-50.0,1.1,15,150.0,5.6,11,-8.3,4.1,3,-40.0,1.1,6,-33.3,2.2,8,14.3,3.0,17,183.3,6.3
BHS,2020-03-19,Bahamas,18,0.0,8.7,4,-55.6,1.9,3,-25.0,1.4,19,-20.8,9.2,85,-24.1,41.1,44,12.8,21.3,2,-33.3,1.0,2,-86.7,1.0,8,-27.3,3.9,6,100.0,2.9,3,-50.0,1.4,4,-50.0,1.9,9,-47.1,4.3
BHS,2020-03-20,Bahamas,17,-5.6,8.0,6,50.0,2.8,6,100.0,2.8,19,0.0,8.9,71,-16.5,33.3,57,29.5,26.8,5,150.0,2.3,1,-50.0,0.5,8,0.0,3.8,3,-50.0,1.4,5,66.7,2.3,7,75.0,3.3,8,-11.1,3.8
BHS,2020-03-21,Bahamas,17,0.0,11.8,2,-66.7,1.4,1,-83.3,0.7,8,-57.9,5.6,41,-42.3,28.5,49,-14.0,34.0,3,-40.0,2.1,2,100.0,1.4,1,-87.5,0.7,4,33.3,2.8,1,-80.0,0.7,3,-57.1,2.1,12,50.0,8.3
BHS,2020-03-22,Bahamas,14,-17.6,6.2,4,100.0,1.8,5,400.0,2.2,5,-37.5,2.2,75,82.9,33.2,94,91.8,41.6,2,-33.3,0.9,3,50.0,1.3,7,600.0,3.1,1,-75.0,0.4,2,100.0,0.9,4,33.3,1.8,10,-16.7,4.4
BHS,2020-03-23,Bahamas,23,64.3,8.9,7,75.0,2.7,2,-60.0,0.8,18,260.0,7.0,100,33.3,38.9,72,-23.4,28.0,6,200.0,2.3,6,100.0,2.3,9,28.6,3.5,2,100.0,0.8,2,0.0,0.8,4,0.0,1.6,6,-40.0,2.3
BHS,2020-03-24,Bahamas,20,-13.0,7.5,5,-28.6,1.9,7,250.0,2.6,26,44.4,9.7,106,6.0,39.7,52,-27.8,19.5,1,-83.3,0.4,7,16.7,2.6,16,77.8,6.0,10,400.0,3.7,0,-100.0,0,12,200.0,4.5,5,-16.7,1.9
