id,date,name,docs-1,docs-delta-percent-1,docs-percent-1,docs-female-1,docs-male-1,docs-questions-1,docs-complaints-1,docs-2,docs-delta-percent-2,docs-percent-2,docs-female-2,docs-male-2,docs-questions-2,docs-complaints-2,docs-3,docs-delta-percent-3,docs-percent-3,docs-female-3,docs-male-3,docs-questions-3,docs-complaints-3,docs-4,docs-delta-percent-4,docs-percent-4,docs-female-4,docs-male-4,docs-questions-4,docs-complaints-4,docs-5,docs-delta-percent-5,docs-percent-5,docs-female-5,docs-male-5,docs-questions-5,docs-complaints-5,docs-6,docs-delta-percent-6,docs-percent-6,docs-female-6,docs-male-6,docs-questions-6,docs-complaints-6,docs-7,docs-delta-percent-7,docs-percent-7,docs-female-7,docs-male-7,docs-questions-7,docs-complaints-7,docs-8,docs-delta-percent-8,docs-percent-8,docs-female-8,docs-male-8,docs-questions-8,docs-complaints-8,docs-9,docs-delta-percent-9,docs-percent-9,docs-female-9,docs-male-9,docs-questions-9,docs-complaints-9,docs-10,docs-delta-percent-10,docs-percent-10,docs-female-10,docs-male-10,docs-questions-10,docs-complaints-10,docs-11,docs-delta-percent-11,docs-percent-11,docs-female-11,docs-male-11,docs-questions-11,docs-complaints-11,docs-12,docs-delta-percent-12,docs-percent-12,docs-female-12,docs-male-12,docs-questions-12,docs-complaints-12,docs-13,docs-delta-percent-13,docs-percent-13,docs-female-13,docs-male-13,docs-questions-13,docs-complaints-13,docs-14,docs-delta-percent-14,docs-percent-14,docs-female-14,docs-male-14,docs-questions-14,docs-complaints-14,docs-15,docs-delta-percent-15,docs-percent-15,docs-female-15,docs-male-15,docs-questions-15,docs-complaints-15,docs-16,docs-delta-percent-16,docs-percent-16,docs-female-16,docs-male-16,docs-questions-16,docs-complaints-16,docs-17,docs-delta-percent-17,docs-percent-17,docs-female-17,docs-male-17,docs-questions-17,docs-complaints-17,docs-18,docs-delta-percent-18,docs-percent-18,docs-female-18,docs-male-18,docs-questions-18,docs-complaints-18
JAM,2023-01-06,Jamaica,12,0.71,0.02,0,3,1,0,68,-0.3,0.12,10,18,2,10,13,-0.24,0.02,2,5,1,0,11,0.38,0.02,1,1,0,0,0,100,0,0,0,0,0,102,-0.47,0.18,21,37,14,21,37,-0.31,0.06,10,10,5,9,8,-0.11,0.01,0,4,1,1,7,1.33,0.01,1,0,0,0,54,0.17,0.09,3,17,5,6,54,-0.22,0.09,5,13,3,15,47,0.21,0.08,11,15,3,7,11,0.38,0.02,2,3,0,4,31,-0.21,0.05,2,13,3,9,18,3.5,0.03,6,7,3,4,20,0.54,0.03,3,6,2,5,60,-0.32,0.1,2,20,8,20,21,-0.09,0.04,4,11,0,8
JAM,2023-01-07,Jamaica,17,0.42,0.04,2,6,1,3,42,-0.38,0.09,5,10,3,4,16,0.23,0.04,5,2,2,0,8,-0.27,0.02,2,1,1,0,0,100,0,0,0,0,0,83,-0.19,0.18,20,34,10,18,31,-0.16,0.07,5,13,6,6,5,-0.37,0.01,1,0,0,2,1,-0.86,0,0,0,1,1,45,-0.17,0.1,1,16,5,4,44,-0.19,0.1,5,10,4,13,44,-0.06,0.1,7,15,8,9,7,-0.36,0.02,1,1,0,1,34,0.1,0.07,5,13,5,12,4,-0.78,0.01,1,1,1,1,9,-0.55,0.02,4,2,1,1,49,-0.18,0.11,5,14,4,21,17,-0.19,0.04,1,3,0,5
JAM,2023-01-08,Jamaica,12,-0.29,0.03,1,4,0,1,51,0.21,0.11,7,29,2,5,11,-0.31,0.02,4,3,1,1,8,0,0.02,1,2,1,0,0,100,0,0,0,0,0,69,-0.17,0.15,18,15,6,12,29,-0.06,0.06,3,8,0,5,13,1.6,0.03,6,1,0,1,2,1,0,0,0,0,1,29,-0.36,0.06,5,8,3,4,30,-0.32,0.07,7,2,1,8,47,0.07,0.1,8,16,4,3,15,1.14,0.03,2,2,0,3,42,0.24,0.09,8,15,5,16,7,0.75,0.02,3,2,2,1,17,0.89,0.04,4,10,1,3,60,0.22,0.13,9,19,9,19,14,-0.18,0.03,3,3,3,3
JAM,2023-01-09,Jamaica,15,0.25,0.03,1,3,1,3,57,0.12,0.12,5,12,2,4,13,0.18,0.03,2,5,2,1,4,-0.5,0.01,0,2,0,1,0,100,0,0,0,0,0,73,0.06,0.16,9,22,7,10,44,0.52,0.09,2,12,5,6,10,-0.23,0.02,0,3,1,1,6,2,0.01,0,4,0,0,37,0.28,0.08,1,5,2,4,59,0.97,0.13,6,19,6,20,41,-0.13,0.09,8,10,2,0,11,-0.27,0.02,2,2,0,2,30,-0.29,0.06,5,9,5,9,1,-0.86,0,1,0,0,0,9,-0.47,0.02,1,1,2,1,42,-0.3,0.09,5,14,3,13,16,0.14,0.03,2,2,1,3
MEX,2023-01-01,México,8,0,0.01,0,2,0,1,145,0,0.1,20,54,7,27,10,0,0.01,0,2,2,3,98,0,0.07,16,19,7,15,0,0,0,0,0,0,0,251,0,0.18,50,95,14,34,142,0,0.1,16,54,4,26,65,0,0.05,1,40,5,21,20,0,0.01,0,3,0,5,51,0,0.04,5,19,3,9,140,0,0.1,12,45,5,52,93,0,0.07,11,15,4,11,46,0,0.03,5,12,2,10,54,0,0.04,2,27,3,21,31,0,0.02,0,10,1,3,32,0,0.02,5,9,3,6,96,0,0.07,11,33,4,54,142,0,0.1,25,74,9,70
MEX,2023-01-02,México,24,2,0.01,5,2,1,7,210,0.45,0.09,22,72,10,48,23,1.3,0.01,2,7,0,5,197,1.01,0.08,24,39,8,19,0,100,0,0,0,0,0,264,0.05,0.11,57,86,13,57,182,0.28,0.08,16,58,8,36,157,1.42,0.07,11,45,13,44,42,1.1,0.02,3,7,0,4,102,1,0.04,8,29,3,16,270,0.93,0.11,17,61,11,98,152,0.63,0.06,10,21,4,25,79,0.72,0.03,12,25,6,22,105,0.94,0.04,16,38,7,36,42,0.35,0.02,4,9,2,6,50,0.56,0.02,9,15,1,5,145,0.51,0.06,10,41,2,59,306,1.15,0.13,38,103,18,99
MEX,2023-01-03,México,24,0,0.01,3,7,1,3,295,0.4,0.1,28,74,14,52,34,0.48,0.01,1,12,0,4,216,0.1,0.07,16,48,8,17,0,100,0,0,0,0,0,317,0.2,0.11,56,95,9,81,265,0.46,0.09,25,90,16,57,146,-0.07,0.05,6,49,9,34,36,-0.14,0.01,1,3,0,4,171,0.68,0.06,15,61,7,44,372,0.38,0.12,31,92,16,122,237,0.56,0.08,12,46,7,31,123,0.56,0.04,9,26,8,45,110,0.05,0.04,16,53,10,40,40,-0.05,0.01,5,10,1,5,64,0.28,0.02,7,21,5,16,210,0.45,0.07,14,43,6,56,333,0.09,0.11,29,139,25,120
MEX,2023-01-04,México,44,0.83,0.01,2,12,0,7,287,-0.03,0.09,25,65,8,33,22,-0.35,0.01,1,6,3,5,257,0.19,0.08,31,51,17,19,0,100,0,0,0,0,0,316,0,0.1,42,110,18,72,313,0.18,0.1,27,126,21,81,181,0.24,0.06,20,62,17,53,32,-0.11,0.01,3,5,1,5,177,0.04,0.05,10,56,7,34,406,0.09,0.12,29,94,12,130,288,0.22,0.09,16,51,6,44,132,0.07,0.04,15,34,10,40,160,0.45,0.05,20,80,17,83,64,0.6,0.02,3,16,1,10,70,0.09,0.02,10,25,5,26,209,0,0.06,17,54,8,75,324,-0.03,0.1,38,119,21,126
MEX,2023-01-05,México,40,-0.09,0.01,4,2,1,17,333,0.16,0.09,29,99,29,74,25,0.14,0.01,2,9,2,5,244,-0.05,0.06,11,52,8,19,0,100,0,0,0,0,0,371,0.17,0.1,75,122,24,88,312,0,0.08,46,102,23,66,172,-0.05,0.04,24,66,15,57,38,0.19,0.01,5,6,2,2,219,0.24,0.06,45,50,38,44,680,0.67,0.18,59,148,18,207,267,-0.07,0.07,15,51,11,29,144,0.09,0.04,21,45,6,38,174,0.09,0.05,27,81,17,82,101,0.58,0.03,7,40,13,10,68,-0.03,0.02,7,26,3,26,261,0.25,0.07,23,90,18,101,406,0.25,0.11,58,168,29,172
MEX,2023-01-06,México,18,-0.55,0.01,4,4,0,2,367,0.1,0.11,32,99,16,61,29,0.16,0.01,3,6,1,7,205,-0.16,0.06,18,42,6,17,0,100,0,0,0,0,0,290,-0.22,0.09,37,90,12,59,290,-0.07,0.09,25,74,12,50,178,0.03,0.06,19,63,4,39,28,-0.26,0.01,2,5,1,2,184,-0.16,0.06,19,43,16,41,383,-0.44,0.12,24,103,30,110,247,-0.07,0.08,20,47,5,35,117,-0.19,0.04,7,35,3,20,137,-0.21,0.04,14,63,16,60,67,-0.34,0.02,5,21,1,7,67,-0.01,0.02,7,23,2,10,218,-0.16,0.07,19,83,19,71,393,-0.03,0.12,31,164,21,131
