id,date,name,docs-1,docs-delta-percent-1,docs-percent-1,docs-female-1,docs-male-1,docs-questions-1,docs-complaints-1,docs-2,docs-delta-percent-2,docs-percent-2,docs-female-2,docs-male-2,docs-questions-2,docs-complaints-2,docs-3,docs-delta-percent-3,docs-percent-3,docs-female-3,docs-male-3,docs-questions-3,docs-complaints-3,docs-4,docs-delta-percent-4,docs-percent-4,docs-female-4,docs-male-4,docs-questions-4,docs-complaints-4,docs-5,docs-delta-percent-5,docs-percent-5,docs-female-5,docs-male-5,docs-questions-5,docs-complaints-5,docs-6,docs-delta-percent-6,docs-percent-6,docs-female-6,docs-male-6,docs-questions-6,docs-complaints-6,docs-7,docs-delta-percent-7,docs-percent-7,docs-female-7,docs-male-7,docs-questions-7,docs-complaints-7,docs-8,docs-delta-percent-8,docs-percent-8,docs-female-8,docs-male-8,docs-questions-8,docs-complaints-8,docs-9,docs-delta-percent-9,docs-percent-9,docs-female-9,docs-male-9,docs-questions-9,docs-complaints-9,docs-10,docs-delta-percent-10,docs-percent-10,docs-female-10,docs-male-10,docs-questions-10,docs-complaints-10,docs-11,docs-delta-percent-11,docs-percent-11,docs-female-11,docs-male-11,docs-questions-11,docs-complaints-11,docs-12,docs-delta-percent-12,docs-percent-12,docs-female-12,docs-male-12,docs-questions-12,docs-complaints-12,docs-13,docs-delta-percent-13,docs-percent-13,docs-female-13,docs-male-13,docs-questions-13,docs-complaints-13,docs-14,docs-delta-percent-14,docs-percent-14,docs-female-14,docs-male-14,docs-questions-14,docs-complaints-14
BRB,2021-09-01,Barbados,7,0,0.02,0,0,0,6,62,0,0.2,22,17,4,46,8,0,0.03,0,0,1,7,4,0,0.01,0,0,0,3,79,0,0.26,34,16,18,50,14,0,0.05,0,0,2,10,11,0,0.04,0,0,3,7,8,0,0.03,0,0,1,3,53,0,0.17,19,18,5,32,16,0,0.05,0,0,2,12,2,0,0.01,0,0,0,1,21,0,0.07,0,0,2,13,13,0,0.04,0,0,1,11,9,0,0.03,0,0,1,6
BRB,2021-09-02,Barbados,9,0.29,0.03,0,0,2,5,71,0.15,0.25,25,19,11,47,11,0.38,0.04,0,0,2,8,5,0.25,0.02,0,0,2,1,48,-0.39,0.17,15,7,13,33,18,0.29,0.06,0,0,3,9,26,1.36,0.09,0,0,1,22,7,-0.12,0.02,0,0,0,6,39,-0.26,0.14,19,7,7,22,5,-0.69,0.02,0,0,0,5,1,-0.5,0,0,0,0,1,24,0.14,0.08,0,0,4,14,13,0,0.05,0,0,0,7,7,-0.22,0.02,0,0,3,4
BRB,2021-09-03,Barbados,16,0.78,0.06,0,0,1,13,60,-0.15,0.22,21,11,5,52,8,-0.27,0.03,0,0,1,3,2,-0.6,0.01,0,0,0,0,62,0.29,0.23,15,9,8,37,17,-0.06,0.06,0,0,3,11,10,-0.62,0.04,0,0,0,8,14,1,0.05,0,0,2,6,43,0.1,0.16,20,9,3,31,10,1,0.04,0,0,1,4,1,0,0,0,0,0,0,13,-0.46,0.05,0,0,1,7,13,0,0.05,0,0,2,8,5,-0.29,0.02,0,0,0,5
BRB,2021-09-04,Barbados,14,-0.12,0.05,0,0,3,13,57,-0.05,0.22,13,21,9,39,9,0.13,0.04,0,0,1,5,3,0.5,0.01,0,0,1,1,46,-0.26,0.18,12,15,5,28,17,0,0.07,0,0,2,10,11,0.1,0.04,0,0,1,10,12,-0.14,0.05,0,0,0,10,40,-0.07,0.16,14,12,3,24,13,0.3,0.05,0,0,2,11,1,0,0,0,0,0,0,10,-0.23,0.04,0,0,1,6,14,0.08,0.05,0,0,1,9,9,0.8,0.04,0,0,0,8
BRB,2021-09-05,Barbados,19,0.36,0.06,0,0,1,17,67,0.18,0.23,21,19,11,51,10,0.11,0.03,0,0,0,4,4,0.33,0.01,0,0,3,1,63,0.37,0.22,17,17,8,45,13,-0.24,0.04,0,0,5,7,8,-0.27,0.03,0,0,0,6,9,-0.25,0.03,0,0,1,4,52,0.3,0.18,22,13,11,30,16,0.23,0.05,0,0,1,13,0,-1,0,0,0,0,0,8,-0.2,0.03,0,0,1,6,20,0.43,0.07,0,0,2,16,4,-0.56,0.01,0,0,1,4
BRB,2021-09-06,Barbados,20,0.05,0.06,0,0,4,13,49,-0.27,0.16,21,12,3,36,15,0.5,0.05,0,0,1,10,2,-0.5,0.01,0,0,0,0,53,-0.16,0.17,14,12,12,35,17,0.31,0.05,0,0,2,10,14,0.75,0.05,0,0,1,8,11,0.22,0.04,0,0,1,7,101,0.94,0.32,43,24,15,68,7,-0.56,0.02,0,0,1,7,0,100,0,0,0,0,0,8,0,0.03,0,0,0,6,11,-0.45,0.04,0,0,2,5,3,-0.25,0.01,0,0,1,1
BRB,2021-09-07,Barbados,8,-0.6,0.03,0,0,2,4,58,0.18,0.23,19,9,9,45,8,-0.47,0.03,0,0,0,5,1,-0.5,0,0,0,0,1,43,-0.19,0.17,11,9,6,25,19,0.12,0.08,0,0,3,13,7,-0.5,0.03,0,0,1,7,15,0.36,0.06,0,0,3,11,54,-0.47,0.22,19,9,3,37,14,1,0.06,0,0,2,11,0,100,0,0,0,0,0,7,-0.12,0.03,0,0,1,3,12,0.09,0.05,0,0,4,8,5,0.67,0.02,0,0,2,0
BRB,2021-09-08,Barbados,23,1.88,0.08,0,0,6,14,46,-0.21,0.16,18,13,8,32,15,0.88,0.05,0,0,4,10,1,0,0,0,0,1,1,74,0.72,0.25,17,25,23,52,16,-0.16,0.05,0,0,3,7,9,0.29,0.03,0,0,3,5,15,0,0.05,0,0,1,9,50,-0.07,0.17,14,14,7,38,12,-0.14,0.04,0,0,0,8,0,100,0,0,0,0,0,11,0.57,0.04,0,0,2,7,22,0.83,0.07,0,0,4,10,1,-0.8,0,0,0,0,1
BRB,2021-09-09,Barbados,134,4.83,0.19,43,44,22,99,80,0.74,0.11,25,27,11,58,25,0.67,0.03,0,0,7,16,6,5,0.01,0,0,1,3,239,2.23,0.33,87,66,61,161,45,1.81,0.06,16,20,10,30,18,1,0.03,0,0,1,10,21,0.4,0.03,0,0,1,12,66,0.32,0.09,19,13,10,42,39,2.25,0.05,6,20,8,28,6,100,0.01,0,0,1,2,9,-0.18,0.01,0,0,1,6,17,-0.23,0.02,0,0,3,15,13,12,0.02,0,0,3,9
BRB,2021-09-10,Barbados,43,-0.68,0.08,14,7,10,28,68,-0.15,0.13,21,19,11,49,21,-0.16,0.04,0,0,2,16,3,-0.5,0.01,0,0,0,2,199,-0.17,0.39,44,58,57,127,25,-0.44,0.05,0,0,2,17,14,-0.22,0.03,0,0,1,7,22,0.05,0.04,0,0,0,11,41,-0.38,0.08,11,12,3,32,19,-0.51,0.04,0,0,2,14,4,-0.33,0.01,0,0,0,2,9,0,0.02,0,0,1,9,30,0.76,0.06,0,0,0,23,10,-0.23,0.02,0,0,2,6
